test,role,endpoint,operation,resource_scope,expected,actual_http_status,actual_result,payload_summary,tampering_attempt,tampering_result,evidence_reference,overall_result
Backend health check,unauthenticated,/api/health/,GET,platform,200 OK,200,PASS,"{}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §DEPLOYMENT STATUS",PASS
Backend campus list,unauthenticated,/api/schools/campuses/,GET,own-school,401 Unauthorized,401,PASS,"{}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §DEPLOYMENT STATUS",PASS
Backend campus create,unauthenticated,/api/schools/campuses/,POST,own-school,401 Unauthorized,401,PASS,"{name,city,address}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §DEPLOYMENT STATUS",PASS
Frontend loads,unauthenticated,/campuses,GET,platform,200 OK,200,PASS,"HTML/JS assets",N/A,N/A,"PHASE_116_PRODUCTION_DEFECT_INVESTIGATION.md §2",PASS
School Admin campus create,admin (School Admin),/api/schools/campuses/,POST,own-school,201 Created,BLOCKED,BLOCKED,"{name,city,address,school?,admin?}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
School Admin campus delete,admin (School Admin),/api/schools/campuses/<id>/,DELETE,own-campus,204 No Content,BLOCKED,BLOCKED,"{}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
School Admin other-school campus read,admin (School Admin),/api/schools/campuses/<other-id>/,GET,other-school,403/404 Denied,BLOCKED,BLOCKED,"{}",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
School Admin ID tampering,admin (School Admin),/api/schools/campuses/<other-id>/,PATCH,other-school,403/404 Denied,BLOCKED,BLOCKED,"{name: tampered}",ID manipulation,NOT TESTED,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
School Admin query param tampering,admin (School Admin),/api/schools/campuses/?school=<other-id>,GET,other-school,403/404 Denied,BLOCKED,BLOCKED,"{}",Query param manipulation,NOT TESTED,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
Frontend form submission,admin (School Admin),/campuses (UI),POST,own-school,UI success,BLOCKED,BLOCKED,"FormData via apiFetch",N/A,N/A,"PHASE_116_REMEDIATION_RESULT.md §FUNCTIONAL VERIFICATION",BLOCKED
