module,SUPER_ADMIN,ADMIN,TEACHER,STUDENT,STAFF,notes
Authentication,PASS,PASS,PASS,PASS,PASS,All roles can authenticate
Dashboard Overview,PASS,FAIL,PASS,PASS,FAIL,ADMIN timeout 12s, STAFF timeout 12s
Dashboard Finance,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED,
Dashboard Summary,FAIL,FAIL,FAIL,FAIL,FAIL,Endpoint 404
Students,PASS,PASS,PASS,PASS*,FORBIDDEN,*Student self-only
Teachers,PASS,PASS,PASS,FORBIDDEN,FORBIDDEN,
Staff,PASS,PASS,FORBIDDEN,FORBIDDEN,PASS
Attendance,PASS,PASS,PASS,PASS,PASS
Exams,PASS,PASS,PASS,PASS*,FORBIDDEN,*Student self-only
Report Cards,PASS,PASS,PASS,PASS*,FORBIDDEN,*Student self-only
Finance Invoices,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
Finance Payments,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
Finance Categories,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
Finance Fee Structures,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
Finance Reports,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
HR Employees,PASS,PASS,FORBIDDEN,FORBIDDEN,PASS (empty)
Payroll Records,PASS,PASS,FORBIDDEN,FORBIDDEN,FORBIDDEN
Payroll Payslips,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Payroll Salary Structures,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Enrollment,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Reports Attendance,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Reports Fees,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Reports Payroll Summary,PASS,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Staff,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Reports Teacher Workload,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Student Status,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Library,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Route Utilization,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Inventory Value,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Maintenance Due,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports Event Participation,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports SMS Usage,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Reports At Risk,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Timetable,FAIL,FAIL,FAIL,FAIL,FAIL
Homework,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
LMS,FAIL,FAIL,FAIL,FAIL,FAIL
Library,FAIL,FAIL,FAIL,FAIL,FAIL
Transport,FAIL,FAIL,FAIL,FAIL,FAIL
Inventory,FAIL,FAIL,FAIL,FAIL,FAIL
Documents,PASS,PASS,NOT TESTED,NOT TESTED,PASS
Helpdesk,FAIL,FAIL,FAIL,FAIL,FAIL
Visitors,FAIL,FAIL,FAIL,FAIL,FAIL
Digital IDs,FAIL,FAIL,FAIL,FAIL,FAIL
Workflow,FAIL,FAIL,FAIL,FAIL,FAIL
Hostel,FAIL,FAIL,FAIL,FAIL,FAIL
Alumni,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Health Records,FAIL,FAIL,FAIL,FAIL,FAIL
AI Overview,PASS,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
AI Ask,FAIL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
AI Search,PASS,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
AI Insights,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
AI Communication Draft,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED
Audit,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Search,PASS,PASS,PASS,PASS,PASS
Events,PASS,PASS,PASS,PASS,PASS
Alumni,PASS,PASS,NOT TESTED,NOT TESTED,NOT TESTED
Hostel,FAIL,FAIL,FAIL,FAIL,FAIL
LMS,FAIL,FAIL,FAIL,FAIL,FAIL
Portal,FAIL,FAIL,FAIL,FAIL,FAIL
Workflow,FAIL,FAIL,FAIL,FAIL,FAIL
Helpdesk,FAIL,FAIL,FAIL,FAIL,FAIL
Visitors,FAIL,FAIL,FAIL,FAIL,FAIL
Digital IDs,FAIL,FAIL,FAIL,FAIL,FAIL
SAAS,FAIL,FAIL,FAIL,FAIL,FAIL
Audit Logs,FAIL,FAIL,FAIL,FAIL,FAIL
Settings,FAIL,FAIL,FAIL,FAIL,FAIL
Branding,FAIL,FAIL,FAIL,FAIL,FAIL
Health,FAIL,FAIL,FAIL,FAIL,FAIL
Audit Logs,FAIL,FAIL,FAIL,FAIL,FAIL
