module,total_endpoints,tested,pass,partial,fail,blocked,not_tested,critical_defects,notes
Authentication,5,5,4,0,1,0,0,0,Login works; logout not tested
Dashboard,5,5,2,1,2,0,0,2,ADMIN/STAFF dashboard timeout >15s
Students,5,5,5,0,0,0,0,0,All roles work; student self-only
Teachers,4,4,4,0,0,0,0,0,All roles work as expected
Staff,4,4,4,0,0,0,0,0,All roles work as expected
Attendance,5,5,5,0,0,0,0,0,All roles work as expected
Exams,5,5,5,0,0,0,0,0,All roles work as expected
Report Cards,5,5,5,0,0,0,0,0,All roles work as expected
Finance Invoices,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
Finance Payments,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
Finance Categories,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
Finance Fee Structures,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
Finance Reports,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
HR Employees,4,4,3,0,1,0,0,0,Teacher/Student blocked
Payroll Records,4,4,2,0,2,0,0,0,Teacher/Staff/Student blocked
Payroll Payslips,0,0,0,0,0,0,5,0,Not tested
Payroll Salary Structures,0,0,0,0,0,0,5,0,Not tested
Reports Enrollment,2,2,2,0,0,0,0,0,Only Super/Admin tested
Reports Attendance,2,2,2,0,0,0,0,0,Only Super/Admin tested
Reports Fees,2,2,2,0,0,0,0,0,Only Super/Admin tested
Reports Payroll Summary,2,2,1,0,1,0,0,0,Only Super/Admin tested
Reports Staff,2,2,2,0,0,0,0,0,Only Super/Admin tested
Reports Teacher Workload,0,0,0,0,0,0,5,0,Not tested
Reports Student Status,0,0,0,0,0,0,5,0,Not tested
Reports Library,0,0,0,0,0,0,5,0,Not tested
Reports Route Utilization,0,0,0,0,0,0,5,0,Not tested
Reports Inventory Value,0,0,0,0,0,0,5,0,Not tested
Reports Maintenance Due,0,0,0,0,0,0,5,0,Not tested
Reports Event Participation,0,0,0,0,0,0,5,0,Not tested
Reports SMS Usage,0,0,0,0,0,0,5,0,Not tested
Reports At Risk,0,0,0,0,0,0,5,0,Not tested
Timetable,1,1,0,0,1,0,0,1,Endpoint 404
Homework,2,2,1,0,0,0,1,0,Student/Teacher only
LMS,1,1,0,0,1,0,0,1,Endpoint 404
Library,1,1,0,0,1,0,0,1,Endpoint 404
Transport,1,1,0,0,1,0,0,1,Endpoint 404
Inventory,1,1,0,0,1,0,0,1,Endpoint 404
Documents,3,3,3,0,0,0,0,0,All roles work
Helpdesk,1,1,0,0,1,0,0,1,Endpoint 404
Visitors,1,1,0,0,1,0,0,1,Endpoint 404
Digital IDs,1,1,0,0,1,0,0,1,Endpoint 404
Workflow,1,1,0,0,1,0,0,1,Endpoint 404
Hostel,1,1,0,0,1,0,0,1,Endpoint 404
Alumni,1,1,2,0,0,0,0,0,Admin/Super only
Health Records,1,1,0,0,1,0,0,1,Endpoint 404
AI Overview,2,2,1,0,0,0,1,0,Super Admin only
AI Ask,1,1,0,0,1,0,0,1,Endpoint 405
AI Search,2,2,1,0,0,0,1,0,Super Admin only
AI Insights,4,4,0,0,4,0,0,0,Role-gated
AI Communication Draft,1,1,0,0,1,0,0,0,Draft only
Audit,2,2,2,0,0,0,0,0,Admin/Super only
Search,4,4,4,0,0,0,0,0,All roles work
Events,3,3,3,0,0,0,0,0,All roles work
Alumni,1,1,2,0,0,0,0,0,Admin/Super only
Hostel,1,1,0,0,1,0,0,1,Endpoint 404
LMS,1,1,0,0,1,0,0,1,Endpoint 404
Portal,1,1,0,0,1,0,0,1,Endpoint 404
Workflow,1,1,0,0,1,0,0,1,Endpoint 404
Helpdesk,1,1,0,0,1,0,0,1,Endpoint 404
Visitors,1,1,0,0,1,0,0,1,Endpoint 404
Digital IDs,1,1,0,0,1,0,0,1,Endpoint 404
SAAS,1,1,0,0,1,0,0,1,Endpoint 404
Audit Logs,1,1,0,0,1,0,0,1,Endpoint 404
Settings,1,1,0,0,1,0,0,1,Endpoint 404
Branding,1,1,0,0,1,0,0,1,Endpoint 404
Health,1,1,0,0,1,0,0,1,Endpoint 404
Audit Logs,1,1,0,0,1,0,0,1,Endpoint 404
Dashboard Overview,5,5,2,1,2,0,0,2,Admin/Staff timeout
Dashboard Finance,2,2,2,0,0,0,0,0,Working
Dashboard Breakdown,2,2,2,0,0,0,0,0,Working
Health Endpoint,1,1,1,0,0,0,0,0,Working
Auth Me,1,1,5,0,0,0,0,0,All roles
Auth CSRF,1,1,5,0,0,0,0,0,All roles
Auth Login,1,1,1,0,0,0,0,0,Working
Auth Logout,0,0,0,0,0,0,1,0,Not tested
Health Check,1,1,1,0,0,0,0,0,Working
Schema,1,1,0,0,1,0,0,1,Endpoint 500
