module,endpoint,HTTP method,authentication required,role,data scope,actual status,response time,result,evidence ID
AI,/api/ai/anomalies/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.4s,PASS,E=42001
AI,/api/ai/ask/,GET,Yes,SUPER_ADMIN,Cross-tenant,405,4.4s,405,E=42002
AI,/api/ai/communication/draft/,GET,Yes,SUPER_ADMIN,Cross-tenant,405,4.4s,405,E=42003
AI,/api/ai/insights/academic/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.1s,PASS,E=42004
AI,/api/ai/insights/attendance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.1s,PASS,E=42005
AI,/api/ai/insights/finance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.1s,PASS,E=42006
AI,/api/ai/insights/students/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,9.2s,PASS,E=42007
AI,/api/ai/overview/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.5s,PASS,E=42008
AI,/api/ai/search/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.6s,PASS,E=42009
Alumni,/api/alumni/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.0s,PASS,E=42010
Attendance,/api/attendance/,GET,Yes,ADMIN,Institution,200,11.4s,PASS,E=42011
Attendance,/api/attendance/,GET,Yes,STAFF_01,Institution,200,14.5s,PASS,E=42012
Attendance,/api/attendance/,GET,Yes,STUDENT_01,Self,200,15.6s,PASS,E=42013
Attendance,/api/attendance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.8s,PASS,E=42014
Attendance,/api/attendance/,GET,Yes,TEACHER_01,Class,200,13.1s,PASS,E=42015
Audit,/api/audit/,GET,Yes,ADMIN,Institution,200,8.7s,PASS,E=42016
Audit,/api/audit/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.1s,PASS,E=42017
AuditLogs,/api/audit-logs/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.2s,FAIL,E=42018
Auth,/api/accounts/me/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42019
Auth,/api/accounts/roles/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42020
Branding,/api/branding/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42021
Communication,/api/communication/notifications/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.4s,PASS,E=42022
Core,/api/auth/csrf/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.4s,PASS,E=42023
Core,/api/auth/login/,GET,Yes,SUPER_ADMIN,Cross-tenant,405,4.2s,405,E=42024
Core,/api/auth/logout/,GET,Yes,SUPER_ADMIN,Cross-tenant,405,4.1s,405,E=42025
Core,/api/auth/me/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,7.8s,PASS,E=42026
Core,/api/health/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.2s,PASS,E=42027
Dashboard,/api/dashboard/finance/,GET,Yes,ADMIN,Institution,200,10.4s,PASS,E=42028
Dashboard,/api/dashboard/finance/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.2s,PASS,E=42029
Dashboard,/api/dashboard/finance/breakdown/,GET,Yes,ADMIN,Institution,200,10.6s,PASS,E=42030
Dashboard,/api/dashboard/finance/breakdown/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.1s,PASS,E=42031
Dashboard,/api/dashboard/overview/,GET,Yes,ADMIN,Institution,200,12.2s,PASS,E=42032
Dashboard,/api/dashboard/overview/,GET,Yes,STAFF_01,Institution,200,12.1s,PASS,E=42033
Dashboard,/api/dashboard/overview/,GET,Yes,STUDENT_01,Self,200,9.1s,PASS,E=42034
Dashboard,/api/dashboard/overview/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,6.4s,PASS,E=42035
Dashboard,/api/dashboard/overview/,GET,Yes,TEACHER_01,Class,200,10.1s,PASS,E=42036
Dashboard,/api/dashboard/summary/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.2s,FAIL,E=42037
DigitalIDs,/api/digital-ids/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.4s,FAIL,E=42038
Discipline,/api/discipline/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,FAIL,E=42039
Documents,/api/documents/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,5.3s,PASS,E=42040
Events,/api/events/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.9s,PASS,E=42041
Exams,/api/exams/,GET,Yes,ADMIN,Institution,200,11.7s,PASS,E=42042
Exams,/api/exams/,GET,Yes,STAFF_01,Institution,200,13.9s,PASS,E=42043
Exams,/api/exams/,GET,Yes,STUDENT_01,Self,200,16.2s,PASS,E=42044
Exams,/api/exams/,GET,Yes,SUPER_ADMIN,Cross-tenant,200,4.7s,PASS,E=42045
Exams,/api/exams/,GET,Yes,TEACHER_01,Class,200,13.3s,PASS,E=42046
Finance,/api/finance/,GET,Yes,SUPER_ADMIN,Cross-tenant,404,4.3s,PARENT-404,E=42047
Finance,/api/finance/categories/,GET,Yes,ADMIN,Institution,200,8.2s,PASS,E=42048
