module,endpoint,roles tested,status
Core,/api/health/,SUPER_ADMIN,OK
Core,/api/auth/csrf/,SUPER_ADMIN,OK
Core,/api/auth/me/,SUPER_ADMIN,OK
Core,/api/auth/login/,SUPER_ADMIN,SHOULD-POST/NOT-GET
Core,/api/auth/logout/,SUPER_ADMIN,SHOULD-POST/NOT-GET
Auth,/api/accounts/me/,SUPER_ADMIN,UNIMPLEMENTED-404
Auth,/api/accounts/roles/,SUPER_ADMIN,UNIMPLEMENTED-404
Students,/api/students/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Students,/api/students/me/,STUDENT_01,OK
Teachers,/api/teachers/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Staff,/api/staff/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Attendance,/api/attendance/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Exams,/api/exams/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
ReportCards,/api/report-cards/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Finance,/api/finance/,SUPER_ADMIN,UNIMPLEMENTED-404
Finance,/api/finance/invoices/,"ADMIN,STAFF_01,SUPER_ADMIN,TEACHER_01",OK (role-gated)
Finance,/api/finance/payments/,"ADMIN,STAFF_01,SUPER_ADMIN,TEACHER_01",OK (role-gated)
Finance,/api/finance/categories/,"ADMIN,STAFF_01,SUPER_ADMIN,TEACHER_01",OK (role-gated)
Finance,/api/finance/fee-structures/,"ADMIN,SUPER_ADMIN",OK
Finance,/api/finance/reports/,SUPER_ADMIN,UNIMPLEMENTED-404
Finance,/api/finance/reports/trial-balance/,SUPER_ADMIN,OK
Finance,/api/finance/reports/income-expense/,SUPER_ADMIN,OK
Finance,/api/finance/reports/receivables/,SUPER_ADMIN,OK
HR,/api/hr/employees/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK
Payroll,/api/payroll/records/,"ADMIN,STAFF_01,STUDENT_01,SUPER_ADMIN,TEACHER_01",OK (role-gated)
PayrollReports,/api/reports/payroll/summary/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/monthly/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/allowances/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/deductions/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/net-salary/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/paid/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/pending/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll-summary/,SUPER_ADMIN,OK
PayrollReports,/api/reports/payroll/salary-slip/,SUPER_ADMIN,EXPECTED-404 (requires employee param; 200 verified via local regression test)
Reports,/api/reports/,SUPER_ADMIN,UNIMPLEMENTED-404
Reports,/api/reports/enrollment/,SUPER_ADMIN,OK
Reports,/api/reports/attendance/,SUPER_ADMIN,OK
