module,endpoint,account,http_status,time_sec,detail
Core,/api/health/,SUPER_ADMIN,200,4.2,obj
Core,/api/auth/csrf/,SUPER_ADMIN,200,4.4,obj
Core,/api/auth/me/,SUPER_ADMIN,200,7.8,obj
Core,/api/auth/login/,SUPER_ADMIN,405,4.2,POST only
Core,/api/auth/logout/,SUPER_ADMIN,405,4.1,POST only
Auth,/api/accounts/me/,SUPER_ADMIN,404,4.4,
Auth,/api/accounts/roles/,SUPER_ADMIN,404,4.4,
Students,/api/students/,SUPER_ADMIN,200,7.0,count=5
Students,/api/students/,ADMIN,200,12.6,count=5
Students,/api/students/,TEACHER_01,200,12.1,count=0
Students,/api/students/,STUDENT_01,200,10.7,count=0
Students,/api/students/,STAFF_01,200,11.6,count=0
Students,/api/students/me/,STUDENT_01,200,9.6,obj
Teachers,/api/teachers/,SUPER_ADMIN,200,5.6,count=1
Teachers,/api/teachers/,ADMIN,200,11.6,count=1
Teachers,/api/teachers/,TEACHER_01,200,12.1,count=0
Teachers,/api/teachers/,STUDENT_01,200,12.0,count=1
Teachers,/api/teachers/,STAFF_01,200,11.5,count=0
Staff,/api/staff/,SUPER_ADMIN,200,5.4,count=3
Staff,/api/staff/,ADMIN,200,10.9,count=3
Staff,/api/staff/,TEACHER_01,200,11.4,count=3
Staff,/api/staff/,STUDENT_01,200,10.5,count=3
Staff,/api/staff/,STAFF_01,200,10.6,count=3
Attendance,/api/attendance/,SUPER_ADMIN,200,4.8,count=0
Attendance,/api/attendance/,ADMIN,200,11.4,count=0
Attendance,/api/attendance/,TEACHER_01,200,13.1,count=0
Attendance,/api/attendance/,STUDENT_01,200,15.6,count=0
Attendance,/api/attendance/,STAFF_01,200,14.5,count=0
Exams,/api/exams/,SUPER_ADMIN,200,4.7,count=0
Exams,/api/exams/,ADMIN,200,11.7,count=0
Exams,/api/exams/,TEACHER_01,200,13.3,count=0
Exams,/api/exams/,STUDENT_01,200,16.2,count=0
Exams,/api/exams/,STAFF_01,200,13.9,count=0
ReportCards,/api/report-cards/,SUPER_ADMIN,200,4.8,count=0
ReportCards,/api/report-cards/,ADMIN,200,11.4,count=0
ReportCards,/api/report-cards/,TEACHER_01,200,13.2,count=0
ReportCards,/api/report-cards/,STUDENT_01,200,15.6,count=0
ReportCards,/api/report-cards/,STAFF_01,200,14.6,count=0
Finance,/api/finance/,SUPER_ADMIN,404,4.3,
Finance,/api/finance/invoices/,SUPER_ADMIN,200,4.8,count=0
Finance,/api/finance/invoices/,ADMIN,200,11.3,count=0
Finance,/api/finance/invoices/,TEACHER_01,403,9.1,forbidden
Finance,/api/finance/invoices/,STAFF_01,403,9.1,forbidden
Finance,/api/finance/payments/,SUPER_ADMIN,200,4.7,count=0
Finance,/api/finance/payments/,ADMIN,200,11.5,count=0
Finance,/api/finance/payments/,TEACHER_01,403,9.7,forbidden
Finance,/api/finance/payments/,STAFF_01,403,8.7,forbidden
Finance,/api/finance/categories/,SUPER_ADMIN,200,4.5,count=0
Finance,/api/finance/categories/,ADMIN,200,8.2,count=0
Finance,/api/finance/categories/,TEACHER_01,403,9.4,forbidden
Finance,/api/finance/categories/,STAFF_01,403,9.0,forbidden
Finance,/api/finance/fee-structures/,SUPER_ADMIN,200,6.0,count=520
Finance,/api/finance/fee-structures/,ADMIN,200,12.2,count=520
Finance,/api/finance/reports/,SUPER_ADMIN,404,4.2,renamed->children
Finance,/api/finance/reports/trial-balance/,SUPER_ADMIN,200,4.9,obj
Finance,/api/finance/reports/income-expense/,SUPER_ADMIN,200,4.9,obj
Finance,/api/finance/reports/receivables/,SUPER_ADMIN,200,4.9,obj
HR,/api/hr/employees/,SUPER_ADMIN,200,4.7,count=0
HR,/api/hr/employees/,ADMIN,200,9.7,count=0
HR,/api/hr/employees/,TEACHER_01,200,10.2,count=0
HR,/api/hr/employees/,STUDENT_01,200,9.5,count=0
HR,/api/hr/employees/,STAFF_01,200,9.3,count=0
Payroll,/api/payroll/records/,SUPER_ADMIN,200,4.8,count=0
Payroll,/api/payroll/records/,ADMIN,200,11.3,count=0
Payroll,/api/payroll/records/,TEACHER_01,403,9.2,forbidden
Payroll,/api/payroll/records/,STUDENT_01,403,8.7,forbidden
