account,endpoint,baseline_min_s,baseline_max_s,post_min_s,post_max_s,p50_s,p95_s
STUDENT_01,attendance,15.18,16.02,5.37,5.46,5.46,5.46
STUDENT_01,exams,15.16,15.82,5.77,6.07,5.77,5.77
STUDENT_01,exams_results,12.28,13.05,5.0,5.16,5.05,5.05
STUDENT_01,report_cards,15.41,16.32,5.47,5.67,5.51,5.51
STUDENT_02,attendance,15.02,16.29,5.56,5.63,5.61,5.61
STUDENT_02,exams,15.33,17.28,5.67,6.07,5.87,5.87
STUDENT_02,exams_results,12.36,12.82,5.05,5.36,5.15,5.15
STUDENT_02,report_cards,15.41,15.96,5.56,5.67,5.57,5.57
STUDENT_03,attendance,14.84,16.34,5.46,5.57,5.56,5.56
STUDENT_03,exams,15.74,16.38,5.67,5.77,5.77,5.77
STUDENT_03,exams_results,12.4,12.85,4.95,5.36,5.26,5.26
STUDENT_03,report_cards,15.94,16.02,5.56,5.57,5.56,5.56
STUDENT_04,attendance,15.43,15.87,5.56,5.77,5.67,5.67
STUDENT_04,exams,15.54,16.39,5.56,5.77,5.71,5.71
STUDENT_04,exams_results,12.39,13.19,4.95,5.08,5.01,5.01
STUDENT_04,report_cards,15.21,15.65,5.54,5.56,5.56,5.56
