account,endpoint,repetition,http_status,latency_s,body_bytes,result_count
STUDENT_01,attendance,1,200,5.37,52,0
STUDENT_01,attendance,2,200,5.46,52,0
STUDENT_01,attendance,3,200,5.46,52,0
STUDENT_01,exams,1,200,6.07,52,0
STUDENT_01,exams,2,200,5.77,52,0
STUDENT_01,exams,3,200,5.77,52,0
STUDENT_01,exams_results,1,200,5.16,52,0
STUDENT_01,exams_results,2,200,5.05,52,0
STUDENT_01,exams_results,3,200,5.0,52,0
STUDENT_01,report_cards,1,200,5.51,52,0
STUDENT_01,report_cards,2,200,5.67,52,0
STUDENT_01,report_cards,3,200,5.47,52,0
STUDENT_02,attendance,1,200,5.56,52,0
STUDENT_02,attendance,2,200,5.63,52,0
STUDENT_02,attendance,3,200,5.61,52,0
STUDENT_02,exams,1,200,6.07,52,0
STUDENT_02,exams,2,200,5.67,52,0
STUDENT_02,exams,3,200,5.87,52,0
STUDENT_02,exams_results,1,200,5.05,52,0
STUDENT_02,exams_results,2,200,5.15,52,0
STUDENT_02,exams_results,3,200,5.36,52,0
STUDENT_02,report_cards,1,200,5.57,52,0
STUDENT_02,report_cards,2,200,5.67,52,0
STUDENT_02,report_cards,3,200,5.56,52,0
STUDENT_03,attendance,1,200,5.46,52,0
STUDENT_03,attendance,2,200,5.57,52,0
STUDENT_03,attendance,3,200,5.56,52,0
STUDENT_03,exams,1,200,5.77,52,0
STUDENT_03,exams,2,200,5.67,52,0
STUDENT_03,exams,3,200,5.77,52,0
STUDENT_03,exams_results,1,200,5.36,52,0
STUDENT_03,exams_results,2,200,5.26,52,0
STUDENT_03,exams_results,3,200,4.95,52,0
STUDENT_03,report_cards,1,200,5.56,52,0
STUDENT_03,report_cards,2,200,5.56,52,0
STUDENT_03,report_cards,3,200,5.57,52,0
STUDENT_04,attendance,1,200,5.56,52,0
STUDENT_04,attendance,2,200,5.77,52,0
STUDENT_04,attendance,3,200,5.67,52,0
STUDENT_04,exams,1,200,5.77,52,0
STUDENT_04,exams,2,200,5.56,52,0
STUDENT_04,exams,3,200,5.71,52,0
STUDENT_04,exams_results,1,200,5.01,52,0
STUDENT_04,exams_results,2,200,4.95,52,0
STUDENT_04,exams_results,3,200,5.08,52,0
STUDENT_04,report_cards,1,200,5.54,52,0
STUDENT_04,report_cards,2,200,5.56,52,0
STUDENT_04,report_cards,3,200,5.56,52,0
