Role,Endpoint,Method,Expected_Status,Actual_Status,Authorization_Result,Notes
SUPER_ADMIN,/api/auth/me/,GET,200,200,PASS,Global access
SUPER_ADMIN,/api/dashboard/finance/,GET,200,200,PASS,Full finance access
SUPER_ADMIN,/api/finance/reports/trial-balance/,GET,200,200,PASS,Unrestricted finance reports
SUPER_ADMIN,/api/finance/reports/income-expense/,GET,200,200,PASS,Unrestricted finance reports
SUPER_ADMIN,/api/finance/reports/receivables/,GET,200,200,PASS,Unrestricted finance reports
SUPER_ADMIN,/api/finance/categories/,GET,200,200,PASS,Super admin read access
SUPER_ADMIN,/api/accounts/accounts/,GET,200,200,PASS,Super admin account read
SUPER_ADMIN,/api/staff/me/,GET,200,200,PASS,Global staff access
SUPER_ADMIN,/api/students/,GET,200,200,PASS,Global student access
SUPER_ADMIN,/api/migrate/,POST,401,401,PASS,F14 MIGRATION_SECRET active
ADMIN,/api/auth/me/,GET,200,200,PASS,Institution-bound (Springfield)
ADMIN,/api/dashboard/finance/,GET,200,200,PASS,Full finance access
ADMIN,/api/finance/reports/trial-balance/,GET,200,200,PASS,Has accountant-permitted access
ADMIN,/api/finance/reports/income-expense/,GET,200,200,PASS,Has accountant-permitted access
ADMIN,/api/finance/reports/receivables/,GET,200,200,PASS,Has accountant-permitted access
ADMIN,/api/finance/categories/,GET,403,403,EXPECTED_FORBIDDEN,Admin lacks super_admin role
ADMIN,/api/accounts/accounts/,GET,403,403,EXPECTED_FORBIDDEN,Admin lacks super_admin role
ADMIN,/api/staff/me/,GET,200,200,PASS,Institution-bound staff access
ADMIN,/api/students/,GET,200,200,PASS,Institution-bound student access
TEACHER,/api/auth/me/,GET,200,200,PASS,Institution-bound (Springfield)
TEACHER,/api/dashboard/finance/,GET,200,200,PASS,Own finance data only
TEACHER,/api/finance/reports/trial-balance/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
TEACHER,/api/finance/reports/income-expense/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
TEACHER,/api/finance/reports/receivables/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
TEACHER,/api/finance/categories/,GET,403,403,EXPECTED_FORBIDDEN,Lacks super_admin role
TEACHER,/api/staff/me/,GET,403,403,EXPECTED_FORBIDDEN,Teacher ≠ staff role
TEACHER,/api/students/,GET,200,200,PASS,Classroom-scoped student access
STAFF,/api/auth/me/,GET,200,200,PASS,Default Institution; campus 7 (Phase 46 repair)
STAFF,/api/dashboard/finance/,GET,200,200,PASS,Own finance data
STAFF,/api/finance/reports/trial-balance/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STAFF,/api/finance/reports/income-expense/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STAFF,/api/finance/reports/receivables/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STAFF,/api/staff/me/,GET,200,200,PASS,Campus 7; membership 1157
STAFF,/api/students/,GET,200,200,PASS,Campus 7 scoped
STAFF,/api/students/,GET,403,403,PASS,Cross-campus isolation (campus 9 → 403)
STUDENT,/api/auth/me/,GET,200,200,PASS,Springfield Academy; own data only
STUDENT,/api/dashboard/finance/,GET,200,200,PASS,Own invoices only
STUDENT,/api/finance/reports/trial-balance/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STUDENT,/api/finance/reports/income-expense/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STUDENT,/api/finance/reports/receivables/,GET,403,403,EXPECTED_FORBIDDEN,Lacks accountant role
STUDENT,/api/students/finance/,GET,404,404,NOT_CERTIFIED,Documented routing design; use /api/dashboard/finance/
STUDENT,/api/students/me/,GET,200,200,PASS,Own data only
ACCOUNTANT,/api/auth/me/,GET,200,200,PASS,Institution 1; campus 7
ACCOUNTANT,/api/dashboard/finance/,GET,200,200,PASS,Full finance dashboard access
ACCOUNTANT,/api/finance/reports/trial-balance/,GET,200,200,PASS,Accountant role access
ACCOUNTANT,/api/finance/reports/income-expense/,GET,200,200,PASS,Accountant role access
ACCOUNTANT,/api/finance/reports/receivables/,GET,200,200,PASS,Accountant role access
ACCOUNTANT,/api/students/,GET,403,403,PASS,Cross-campus isolation enforced
