Role,Account,Login_Status,HTTP_Status,Session_Cookie_Set,Session_Cookie_Name,Must_Change_Password,Auth_Me_Status,Auth_Me_Role,Institution,Campus,Classification,Notes
SUPER_ADMIN,FrostFire,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,super_admin,200,super_admin,Default Institution,N/A,AUTH_OK_SESSION_OK,Existing working session
ADMIN,Flora,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,principal,200,principal,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
TEACHER,SA-EMP-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,teacher,200,teacher,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
STAFF,DI-EMP-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,staff,200,staff,Default Institution,Campus 7,AUTH_OK_SESSION_OK,Existing working session
STUDENT,SA-ST-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,student,200,student,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
LIBRARIAN,SA-EMP-00011,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,staff,403,staff,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
ACCOUNTANT,DEG-EMP-00031,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,accountant,403,accountant,Default Institution,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
GUARD,SA-EMP-00031,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,guard,403,guard,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
ADMIN_OFFICER,SA-EMP-00041,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,staff,403,staff,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
TEACHER2,SA-EMP-0003,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,teacher,403,teacher,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
TEACHER3,SA-EMP-0004,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,teacher,403,teacher,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
STUDENT2,SA-ST-0002,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,student,403,student,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
STUDENT3,SA-ST-0003,LOGIN_OK_NO_SESSION,200,NO,N/A,TRUE,student,403,student,Springfield Academy,N/A,AUTH_OK_SESSION_FAILED,Login 200 but no sessionid cookie
NURSE,SA-EMP-0002,LOGIN_FAILED_REQUIRES_SCHOOL_CODE,400,NO,N/A,TRUE,nurse,400,ERROR,Springfield Academy,N/A,AUTH_FAILED_SCHOOL_CODE,Requires school_code parameter
FrostFire,FrostFire,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,super_admin,200,super_admin,Default Institution,N/A,AUTH_OK_SESSION_OK,Existing working session
Flora,Flora,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,principal,200,principal,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
SA_EMP_00001,SA-EMP-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,teacher,200,teacher,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
SA_ST_0001,SA-ST-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,student,200,student,Springfield Academy,N/A,AUTH_OK_SESSION_OK,Existing working session
DI_EMP_0001,DI-EMP-0001,LOGIN_OK_SESSION_OK,200,YES,sessionid,FALSE,staff,200,staff,Default Institution,Campus 7,AUTH_OK_SESSION_OK,Existing working session
