Role,Module,Login_Status,Auth_Me_Status,Primary_Module_Access,Authorization_Boundary,Data_Scope,Performance_Status,Certification_Status,Notes
SUPER_ADMIN,Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Full access verified
SUPER_ADMIN,Finance,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Full finance access
SUPER_ADMIN,Students,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Global student access
SUPER_ADMIN,Teachers,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Global teacher access
SUPER_ADMIN,Staff,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Global staff access
SUPER_ADMIN,Library,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Full library access
SUPER_ADMIN,Attendance,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Global attendance access
SUPER_ADMIN,Exams,LOGIN_OK_SESSION_OK,200,PASS,Global,Global,PASS,CERTIFIED,Global exam access
SUPER_ADMIN,Reports,LOGIN_OK_SESSION_OK,404,FAIL,Global,Global,FAIL,ROUTE_DEFECT,Reports base 404
ADMIN,Dashboard,LOGIN_OK_SESSION_OK,200,PASS,Institution (Springfield),Institution,PASS,CERTIFIED,Institution-scoped access
ADMIN,Finance,LOGIN_OK_SESSION_OK,200,PASS,Institution,Institution,PASS,CERTIFIED,Finance reports accessible
ADMIN,Students,LOGIN_OK_SESSION_OK,200,PASS,Institution,Institution,PASS,CERTIFIED,Institution-bound students
ADMIN,Teachers,LOGIN_OK_SESSION_OK,200,PASS,Institution,Institution,PASS,CERTIFIED,Institution-bound teachers
ADMIN,Staff,LOGIN_OK_SESSION_OK,200,PASS,Institution,Institution,PASS,CERTIFIED,Institution-bound staff
ADMIN,Library,LOGIN_OK_SESSION_OK,200,PASS,Institution,Institution,PASS,CERTIFIED,Library access
ADMIN,Attendance,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Institution,Institution,NOT_CERTIFIED,Not tested in Phase 57
ADMIN,Exams,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Institution,Institution,NOT_CERTIFIED,Not tested in Phase 57
ADMIN,Reports,LOGIN_OK_SESSION_OK,NOT_TESTED,NOT_CERTIFIED,Institution,Institution,NOT_CERTIFIED,Not tested in Phase 57
