Role,Account,Username,Login_Attempted,Login_Status,HTTP_Status,Session_Created,Auth_Me_Status,Auth_Me_Role,Institution,Campus,Designation,Department,Frontend_Nav,Frontend_Page,Classification,Evidence,Notes
SUPER_ADMIN,FrostFire,FrostFire,YES,SUCCESS,200,YES,200,super_admin,Default Institution,N/A,Platform,Administrator,YES,PASS,CERTIFIED,sa_frostfire.txt session valid
ADMIN,Flora,Flora,YES,SUCCESS,200,YES,200,principal,Springfield Academy,N/A,Principal,Administration,YES,PASS,CERTIFIED,sa_flora.txt session valid
TEACHER,SA-EMP-0001,SA-EMP-0001,YES,SUCCESS,200,YES,200,teacher,Springfield Academy,N/A,Teacher,Academics,YES,PASS,CERTIFIED,sa_SA-EMP-0001.txt session valid
STAFF,DI-EMP-0001,DI-EMP-0001,YES,SUCCESS,200,YES,200,staff,Default Institution,Campus 7,Staff Member,Administration,YES,PASS,CERTIFIED,sa_DI-staff.txt session valid
STUDENT,SA-ST-0001,SA-ST-0001,YES,SUCCESS,200,YES,200,student,Springfield Academy,N/A,Student,Academics,YES,PASS,CERTIFIED,sa_SA-ST-0001.txt session valid
LIBRARIAN,SA-EMP-00011,SA-EMP-00011,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Librarian,Library,YES (fixed),N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available for SA-EMP-00011,Provisioning fixed (role=librarian, must_change_password=False) but credentials unavailable
ACCOUNTANT,DEG-EMP-00031,DEG-EMP-00031,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Accountant,Finance,YES (fixed),N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available for DEG-EMP-00031,Provisioning fixed (role=accountant, must_change_password=False)
GUARD,SA-EMP-00031,SA-EMP-00031,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Security Guard,Security,NO (not in nav),N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available for SA-EMP-00031,Provisioning fixed (role=guard, must_change_password=False)
ADMIN_OFFICER,SA-EMP-00041,SA-EMP-00041,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Administrative Officer,Administration,NO (not in nav),N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available for SA-EMP-00041,Provisioning fixed (role=staff, must_change_password=False)
NURSE,SA-EMP-0002,SA-EMP-0002,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Nurse,Health,NO (requires school_code),N/A,NOT CERTIFIED — REQUIRED PROVISIONING INPUT UNAVAILABLE,Requires school_code to login,Requires school_code to login
TEACHER2,SA-EMP-0003,SA-EMP-0003,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Teacher,Academics,YES,N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available
TEACHER3,SA-EMP-0004,SA-EMP-0004,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Teacher,Academics,YES,N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available
STUDENT2,SA-ST-0002,SA-ST-0002,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Student,Academics,YES,N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available
STUDENT3,SA-ST-0003,SA-ST-0003,NO,NOT_ATTEMPTED,N/A,NO,N/A,N/A,N/A,N/A,Student,Academics,YES,N/A,NOT CERTIFIED — TEST CREDENTIALS UNAVAILABLE,No password available
HR,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HR,Human Resources,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED,No account provisioned
RECEPTIONIST,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Receptionist,Student Services,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED,No account provisioned
TRANSPORT,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver,Transport,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED,No account provisioned
INVENTORY,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inventory Manager,Inventory,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED,No account provisioned
HOSTEL,NOT_PROVISIONED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hostel Warden,Hostel,N/A,N/A,NOT CERTIFIED — ACCOUNT NOT PROVISIONED,No account provisioned
