Role,Module,UI,API,Authentication,Authorization,Tenant/Campus Isolation,Read Workflow,Safe Action,Mutation,Performance,Responsive UI,Status,Evidence IDs,Notes
SUPER_ADMIN,Dashboard,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E1,Full access
SUPER_ADMIN,Students,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E2,
SUPER_ADMIN,Teachers,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E3,
SUPER_ADMIN,Staff,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E4,
SUPER_ADMIN,Library,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E5,
SUPER_ADMIN,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E6,
SUPER_ADMIN,Attendance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E7,
SUPER_ADMIN,Exams,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E8,
SUPER_ADMIN,Report_Cards,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E9,
SUPER_ADMIN,Finance_Reports,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_CERTIFIED — PRODUCTION MUTATION BLOCKED,PASS,PASS,CERTIFIED,E10,
