Report,Endpoint,Backend_Implemented,Permission_Classes,Permission_Allows,Frontend_Linked,HTTP_Status,Classification,Notes
Library Inventory,/api/reports/library/inventory/,YES (LibraryInventoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,LibraryInventoryReportView exists; permission IsAccountantRole+IsLibrarianRole; 500 error
Available Books,/api/reports/library/available/,YES (AvailableBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,AvailableBooksReportView exists; 500 error
Issued Books,/api/reports/library/issued/,YES (IssuedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,IssuedBooksReportView exists; 500 error
Returned Books,/api/reports/library/returned/,YES (ReturnedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,ReturnedBooksReportView exists; 500 error
Overdue Books,/api/reports/library/overdue/,YES (OverdueBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,OverdueBooksReportView exists; 500 error
Library Fines,/api/reports/library/fines/,YES (LibraryFinesReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),200,PARTIAL_IMPLEMENTED_BROKEN,LibraryFinesReportView exists; permission IsAccountantRole+IsLibrarianRole; works but librarians excluded before fix
Library Activity Summary,/api/reports/library/activity/,YES (LibraryActivitySummaryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),200,PARTIAL_IMPLEMENTED_BROKEN,LibraryActivitySummaryReportView exists; works but librarians excluded before fix
Most Borrowed Books,/api/reports/library/most-borrowed/,YES (MostBorrowedBooksReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),500,IMPLEMENTED_BROKEN,MostBorrowedBooksReportView exists; 500 error
Student Borrowing History,/api/reports/library/student-history/,YES (StudentBorrowingHistoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,StudentBorrowingHistoryReportView exists; permission IsAccountantRole+IsLibrarianRole
Teacher Borrowing History,/api/reports/library/teacher-history/,YES (TeacherBorrowingHistoryReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),NOT_TESTED,IMPLEMENTED_NOT_CONNECTED,TeacherBorrowingHistoryReportView exists; permission IsAccountantRole+IsLibrarianRole
Library Overview,/api/reports/library/,YES (LibraryOverviewReportView),IsAccountantRole+IsLibrarianRole,super_admin,admin,org_admin,head_office,principal,vice_principal,campus_admin,academic,accountant,hr,librarian,teacher,YES (ReportsPage.jsx),404,ROUTE_DEFECT,LibraryOverviewReportView exists; reports base /api/reports/ returns 404
/api/reports/,Reports Base,NO (404),N/A,N/A,NO (404),YES (ReportsPage.jsx),NO,404,ROUTE_DEFECT,Reports base endpoint not implemented; ReportsPage.jsx expects this
