Endpoint,View/Permission Class,Expected Roles (Code),Deployed Roles (Actual),Parity Status,Notes
/api/library/books/,BookListView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",Same (Accountant also has access),PASS,Deployed matches code
/api/library/issues/,BookIssueListView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",Same,PASS,Deployed matches code
/api/library/reservations/,BookReservationListCreateView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",Same,PASS,Deployed matches code
/api/library/,LibraryRootView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",404 (not deployed),ROUTE_DEFECT,D-006: Not deployed
/api/library/reports/,LibraryReportsView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",404 (not deployed),ROUTE_DEFECT,D-006: Not deployed
/api/library/members/,LibraryMembersView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",404 (not deployed),NOT_IMPLEMENTED,D-006: Not deployed
/api/library/settings/,LibrarySettingsView/IsLibrarianRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, LIBRARIAN, TEACHER",404 (not deployed),NOT_IMPLEMENTED,D-006: Not deployed
/api/reports/,ReportsRootView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",404 (not deployed),ROUTE_DEFECT,D-007: Not deployed
/api/reports/library/,LibraryOverviewReportView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",Same (Librarian blocked),PARTIAL,D-008 fixed in code but not deployed
/api/reports/library/inventory/,LibraryInventoryReportView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",500 (Server Error),SERVER_ERROR,6/10 detailed reports return 500
/api/finance/reports/trial-balance/,TrialBalanceReportView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",NOT_TESTED,NOT_TESTED,Not tested in Phase 62
/api/visitors/,VisitorView/IsStaffRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR, RECEPTIONIST, GUARD, TEACHER, STAFF",404 (not deployed),NOT_IMPLEMENTED,Visitors module not deployed
/api/staff/,StaffView/IsAdminRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC",Same,PASS,Admin Officer (staff role) has access via IsStaffRole
/api/hr/,HRView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",404 (not deployed),NOT_IMPLEMENTED,HR module not deployed
/api/payroll/,PayrollView/IsAccountantRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, ACCOUNTANT, HR",404 (not deployed),NOT_IMPLEMENTED,Payroll module not deployed
/api/health-records/,HealthRecordView/IsNurseRole,"SUPER_ADMIN, ADMIN, ORG_ADMIN, HEAD_OFFICE, PRINCIPAL, VICE_PRINCIPAL, CAMPUS_ADMIN, ACADEMIC, NURSE",404 (not deployed),NOT_IMPLEMENTED,Health module not deployed
/api/auth/me/,CurrentUserView/IsAuthenticated,All authenticated,All authenticated,PASS,All roles work
/api/auth/login/,LoginView/None,All users,All users,PASS,All roles work
