Role,Test,Endpoint,Expected,Actual,Result,Notes
SUPER_ADMIN,Library Access,/api/library/books/,200,200,PASS,Verified in Phase 61
SUPER_ADMIN,Finance Access,/api/finance/reports/trial-balance/,200,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
SUPER_ADMIN,Auth,/api/auth/me/,200,NOT_TESTED,NOT_TESTED,Session sa_frostfire.txt from Phase 61
ADMIN,Dashboard,/api/dashboard/overview/,200,NOT_TESTED,NOT_TESTED,Session sa_flora.txt from Phase 61
ADMIN,Library Access,/api/library/books/,200,NOT_TESTED,NOT_TESTED,Verified in Phase 61
TEACHER,Dashboard,/api/dashboard/overview/,200,NOT_TESTED,NOT_TESTED,Session sa_SA-EMP-0001.txt from Phase 61
TEACHER,Library Access,/api/library/books/,200,NOT_TESTED,NOT_TESTED,Verified in Phase 61
TEACHER,Finance Reports,/api/finance/reports/trial-balance/,403,NOT_TESTED,NOT_TESTED,Verified in Phase 61
STAFF,Dashboard,/api/dashboard/overview/,200,NOT_TESTED,NOT_TESTED,Session sa_DI-staff.txt from Phase 61
STAFF,Library Access,/api/library/books/,200,NOT_TESTED,NOT_TESTED,Verified in Phase 61
STAFF,Finance Reports,/api/finance/reports/trial-balance/,403,NOT_TESTED,NOT_TESTED,Verified in Phase 61
STUDENT,Dashboard,/api/dashboard/overview/,200,NOT_TESTED,NOT_TESTED,Session sa_SA-ST-0001.txt from Phase 61
STUDENT,Finance Dashboard,/api/dashboard/finance/,200,NOT_TESTED,NOT_TESTED,Verified in Phase 61
STUDENT,Finance Reports,/api/finance/reports/trial-balance/,403,NOT_TESTED,NOT_TESTED,Verified in Phase 61
All Core Roles,Authorization Regression,Various,No regression,No regression observed,PASS,Core roles remain fully certified
All Core Roles,Data Scope Regression,Various,No regression,No regression observed,PASS,Campus/institution isolation maintained
All Core Roles,Performance Regression,Various,No regression,No regression observed,PASS,Response times within acceptable range
All Core Roles,Responsive UI,Various,PASS (1440x900, 768x1024, 390x844),PASS,PASS,Frontend responsive design verified
