Role,Account,Username,Provisioning Status,Role Assignment,must_change_password,Login Tested,Session Cookie,Status,Institution
LIBRARIAN,SA-EMP-00011,SA-EMP-00011,FIXED,librarian,False,PASS,sa_librarian.txt,READY,4 (Springfield Academy)
ACCOUNTANT,DEG-EMP-00031,DEG-EMP-00031,FIXED,accountant,False,PASS,sa_accountant.txt,READY,2 (Demo Education Group)
GUARD,SA-EMP-00031,SA-EMP-00031,FIXED,guard,False,PASS,sa_guard.txt,READY,4 (Springfield Academy)
ADMIN_OFFICER,SA-EMP-00041,SA-EMP-00041,FIXED,staff,False,PASS,sa_admin_officer.txt,READY,4 (Springfield Academy)
STUDENT2,SA-ST-0002,SA-ST-0002,FIXED,student,False,PASS,sa_student2.txt,READY,4 (Springfield Academy)
STUDENT3,SA-ST-0003,SA-ST-0003,FIXED,student,False,PASS,sa_student3.txt,READY,4 (Springfield Academy)
NURSE (Inst 4),SA-EMP-0002,SA-EMP-0002,FIXED,nurse,False,PASS,sa_nurse_inst4.txt,READY,4 (Springfield Academy)
NURSE (Inst 5),SA-EMP-0002,SA-EMP-0002,FIXED,nurse,False,NOT_TESTED,NOT_TESTED,5 (Stella Academy)
HR,hr.gvc,hr.gvc,EXISTING,hr,False,PASS,sa_hr.txt,READY,2 (Demo Education Group)
RECEPTIONIST,reception.gvc,reception.gvc,EXISTING,receptionist,False,PASS,sa_receptionist.txt,READY,2 (Demo Education Group)
TRANSPORT,NOT_PROVISIONED,NOT_PROVISIONED,NOT_PROVISIONED,ROLE_NOT_DEFINED,N/A,N/A,N/A,NOT_PROVISIONED,N/A
INVENTORY,NOT_PROVISIONED,NOT_PROVISIONED,NOT_PROVISIONED,ROLE_NOT_DEFINED,N/A,N/A,N/A,NOT_PROVISIONED,N/A
HOSTEL,NOT_PROVISIONED,NOT_PROVISIONED,NOT_PROVISIONED,ROLE_NOT_DEFINED,N/A,N/A,N/A,NOT_PROVISIONED,N/A
DRIVER,NOT_PROVISIONED,NOT_PROVISIONED,NOT_PROVISIONED,ROLE_NOT_DEFINED,N/A,N/A,N/A,NOT_PROVISIONED,N/A
DRIVER_SECURITY,NOT_PROVISIONED,NOT_PROVISIONED,NOT_PROVISIONED,ROLE_NOT_DEFINED,N/A,N/A,N/A,NOT_PROVISIONED,N/A
