Report Endpoint,Permission Class,Accountant Access,Librarian Access,Status,Error Details,Notes
/api/reports/library/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),200,403,PARTIAL,Librarian blocked - deployed version missing IsLibrarianRole,Summary endpoint works for Accountant
/api/reports/library/inventory/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,"6/10 detailed reports return 500; needs backend fix"
/api/reports/library/available/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/issued/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/returned/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/overdue/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/fines/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/activity/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/most-borrowed/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/student-history/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/library/teacher-history/,IsAccountantRole (deployed) / IsAccountantRole+IsLibrarianRole (code),500,500,SERVER_ERROR,500 Internal Server Error,
/api/reports/,IsAccountantRole,404,404,ROUTE_DEFECT,D-007: ReportsRootView not deployed,"Base endpoint missing; blocks all /api/reports/library/*"
/api/finance/reports/trial-balance/,IsAccountantRole,NOT_TESTED,NOT_TESTED,NOT_TESTED,Not tested in Phase 62,
/api/finance/reports/income-expense/,IsAccountantRole,NOT_TESTED,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
/api/finance/reports/receivables/,IsAccountantRole,NOT_TESTED,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
