Role,Designation,StaffProfile Designation,Department,Module Access,Institution Scope
SUPER_ADMIN,Platform Super Admin,Super Admin,Platform,All modules,Global (all institutions)
ORG_ADMIN,Organization Administrator,Org Admin,Organization,Org-scoped modules,Organization
HEAD_OFFICE,Head Office,Head Office,Head Office,Head office modules,Organization
ADMIN,Institution Admin,Admin,Administration,All institution modules,Institution
PRINCIPAL,Principal,Principal,School Leadership,Academic + Admin modules,Institution
VICE_PRINCIPAL,Vice Principal,Vice Principal,School Leadership,Academic + Admin modules,Institution
CAMPUS_ADMIN,Campus Administrator,Campus Admin,Campus Leadership,Campus-scoped modules,Campus
ACADEMIC,Academic Administrator,Academic Admin,Academics,Academic modules,Institution
ACCOUNTANT,Accountant,Accountant,Finance,Finance + Library Reports,Institution
HR,HR / Staff Officer,HR Officer,HR,HR + Payroll,Institution
RECEPTIONIST,Receptionist,Receptionist,Front Office,Visitors + Communication,Institution
LIBRARIAN,Librarian,Librarian,Library,Library + Library Reports,Institution
GUARD,Security Guard,Security Guard,Security,Visitors + Security,Institution
NURSE,Nurse / Medical Officer,Nurse,Health,Health Records,Institution
TEACHER,Teacher,Teacher,Academic,Classroom + Students,Institution/Campus
STAFF,Staff Member,Staff,General,Staff Portal + Assigned modules,Campus
STUDENT,Student,Student,Student,Self-service + Academic,Institution/Campus
PARENT,Parent / Guardian,Parent,Parent,Self-service + Child data,Institution
