Module,Librarian,Accountant,Guard,Admin Officer,Nurse,HR,Receptionist,Teacher,Staff,Student,Super Admin,Admin
Library (Books/Issues/Reservations),R/W,R,None,None,None,None,None,R,None,None,R/W,R/W
Library Reports (Summary),R*,R,None,None,None,None,None,None,None,None,R/R*,R/R*
Library Reports (Detailed),500,500,None,None,None,None,None,None,None,None,500,500
Finance Dashboard,None,R,None,None,None,None,None,R,None,R,R,R
Finance Reports,None,R,None,None,None,None,None,None,None,None,R,R
Students,None,None,None,None,None,R,None,R,None,R,R,R
Teachers,None,None,None,None,None,R,None,R,None,R,R,R
Staff,None,None,None,R/W,None,R,None,R,None,None,R,R
Attendance,None,None,None,None,None,None,None,R,None,R,R,R
Exams,None,None,None,None,None,None,None,R,None,R,R,R
Report Cards,None,None,None,None,None,None,None,R,None,R,R,R
Dashboard,None,None,None,R,None,R,None,R,R,R,R,R
Visitors,None,None,R,None,None,None,R,None,None,None,R,R
HR,None,None,None,None,None,R,None,None,None,None,R,R
Payroll,None,None,None,None,None,R,None,None,None,None,R,R
Health Records,None,None,None,None,R,None,None,None,None,None,R,R
Communications,R/R*,R/R*,None,None,None,R/R*,R/R*,R/R*,None,None,R,R
Transport,None,None,None,None,None,None,None,None,None,None,R,R
Inventory,None,None,None,None,None,None,None,None,None,None,R,R
Hostel,None,None,None,None,None,None,None,None,None,None,R,R
Documents,None,None,None,None,None,None,None,None,None,None,R,R
Events,None,None,None,None,None,None,None,None,None,None,R,R
Helpdesk,None,None,None,None,None,None,None,None,None,None,R,R
LMS,None,None,None,None,None,None,None,R,None,R,R,R
Homework,None,None,None,None,None,None,None,R,None,R,R,R
Workflow,None,None,None,None,None,None,None,None,None,None,R,R
Auth (login/me),R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R
Admin Panel,None,None,None,None,None,None,None,None,None,None,R,R

Legend: R=Read, W=Write, R/W=Read+Write, None=No Access (403/404), 500=Server Error, R*=Accountant has access in code but not verified, R/R*=Read access varies by endpoint
