role,designated_module,module_accessible,api_endpoint,auth_result,frontend_route_match
librarian,library,NOT_DEPLOYED,/api/library/*,404,Library nav route exists but backend returns 404
accountant,reports,NOT_DEPLOYED,/api/reports/library/*,403/404,Reports route exists but backend returns 403/404
guard,visitors,NOT_DEPLOYED,/api/visitors/*,404,Visitors route exists but backend returns 404
admin_officer,staff,NOT_DEPLOYED,/api/staff/*,unknown,Staff route exists but deployment blocker prevents status verification
nurse,health-records,NOT_DEPLOYED,/api/health-records/*,unknown,Health route exists but deployment blocker prevents status verification
hr,payroll,NOT_DEPLOYED,/api/payroll/*,unknown,Payroll route exists but deployment blocker prevents status verification
receptionist,visitors,NOT_DEPLOYED,/api/visitors/*,404,Visitors route exists but backend returns 404
student2,students,NOT_DEPLOYED,/api/students/*,unknown,Student route exists but deployment blocker prevents status verification
student3,students,NOT_DEPLOYED,/api/students/*,unknown,Student route exists but deployment blocker prevents status verification
transport,transport,NOT_DEPLOYED,/api/transport/*,unknown,Transport route not confirmed due to deployment blocker
inventory,inventory,NOT_DEPLOYED,/api/inventory/*,unknown,Inventory route not confirmed due to deployment blocker
hostel,hostel,NOT_DEPLOYED,/api/hostel/*,unknown,Hostel route not confirmed due to deployment blocker
driver, driver,NOT_DEPLOYED,/api/driver/*,unknown,Driver route not confirmed due to deployment blocker
driver_security,discipline,NOT_DEPLOYED,/api/discipline/*,unknown,Discipline route not confirmed due to deployment blocker
