role,module_accessible,endpoint_status,authorization,notes
librarian,NOT_DEPLOYED,/api/library/*,404,Deployment blocker - all library endpoints return 404
accountant,NOT_DEPLOYED,/api/reports/library/*,403/404,Reports and library endpoints not deployed
guard,NOT_DEPLOYED,/api/visitors/*,404,Visitors module not deployed
admin_officer,NOT_DEPLOYED,/api/staff/*,unknown,Staff endpoints status unclear due to deployment blocker
nurse,NOT_DEPLOYED,/api/health-records/*,unknown,Health records module status unclear
hr,NOT_DEPLOYED,/api/payroll/*,unknown,Payroll module status unclear
receptionist,NOT_DEPLOYED,/api/visitors/*,404,Visitors module not deployed
student2,NOT_DEPLOYED,/api/students/*,unknown,Student endpoints status unclear
student3,NOT_DEPLOYED,/api/students/*,unknown,Student endpoints status unclear
transport,NOT_DEPLOYED,/api/transport/*,unknown,Transport module not confirmed deployed
inventory,NOT_DEPLOYED,/api/inventory/*,unknown,Inventory module not confirmed deployed
hostel,NOT_DEPLOYED,/api/hostel/*,unknown,Hostel module not confirmed deployed
driver,NOT_DEPLOYED,/api/driver/*,unknown,Driver module not confirmed deployed
driver_security,NOT_DEPLOYED,/api/discipline/*,unknown,Discipline module not confirmed deployed
