test_case,core_role,action,expected_access,actual_access,regression_status
SUPER_ADMIN,create_staff_profile,create,PASS,PASS,no regression — core roles unaffected
SUPER_ADMIN,delete_user,delete,PASS,PASS,no regression
ADMIN,view_dashboard,read,PASS,PASS,no regression
ADMIN,edit_staff,update,PASS,PASS,no regression
TEACHER,view_students,read,PASS,PASS,no regression
TEACHER,create_grades,create,PASS,PASS,no regression
STAFF,view_own_profile,read,PASS,PASS,no regression
STUDENT,view_own_grades,read,PASS,PASS,no regression
librarian,view_library_books,read,FAIL,N/A,Cannot verify — deployment blocker; /api/library/ returns 404
accountant,view_reports,read,FAIL,N/A,Cannot verify — deployment blocker; /api/reports/ returns 404
guard,view_visitors,read,FAIL,N/A,Cannot verify — deployment blocker; /api/visitors/ returns 404
