role,institution_isolation,tenant_isolation,role_isolation,student_isolation,staff_isolation,notes
SUPER_ADMIN,PASS,PASS,PASS,N/A,N/A,Core role; full admin isolation
ADMIN,PASS,PASS,PASS,N/A,N/A,Core role; institutional isolation
TEACHER,PASS,PASS,PASS,N/A,N/A,Core role; student data scope
STAFF,PASS,PASS,PASS,N/A,N/A,Core role; staff data scope
STUDENT,PASS,PASS,PASS,N/A,N/A,Core role; own data only
librarian,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification; /api/library/ returns 404
accountant,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification; /api/reports/ returns 404
guard,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification; /api/visitors/ returns 404
admin_officer,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification
nurse,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Code fix D-005 exists but not deployed; school_code scope unverified
hr,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification
receptionist,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Deployment blocker prevents scope verification
transport,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Not provisioned in production
inventory,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Not provisioned in production
hostel,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Not provisioned in production
driver,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Not provisioned in production
driver_security,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,Not provisioned in production
