commit_sha,expected_status,actual_status,endpoint,notes,disposition
0ab87f0,200,404,/api/deploy-test/,Deployment verification endpoint returns 404 in production,CODE_ONLY
0ab87f0,200,404,/api/library/,Library root returns 404,CODE_ONLY
0ab87f0,200,403,/api/library/books/,Books returns 403 (auth in stale deployment),CODE_ONLY
0ab87f0,200,404,/api/reports/,Reports base returns 404,CODE_ONLY
0ab87f0,200,403,/api/reports/library/,Reports library returns 403,CODE_ONLY
0ab87f0,200,200,/api/health/,Health endpoint works (DB connectivity),CODE_ONLY — live but stale
0ab87f0,200,404,/api/library/issues/,Issues not deployed,CODE_ONLY
0ab87f0,200,404,/api/library/reservations/,Reservations not deployed,CODE_ONLY
0ab87f0,200,404,/api/library/members/,Members not deployed,CODE_ONLY
0ab87f0,200,404,/api/library/settings/,Settings not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/inventory/,Inventory report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/available/,Available report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/issued/,Issued report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/returned/,Returned report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/overdue/,Overdue report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/fines/,Fines report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/activity/,Activity report not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/most-borrowed/,Most borrowed not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/student-history/,Student history not deployed,CODE_ONLY
0ab87f0,200,404,/api/reports/library/teacher-history/,Teacher history not deployed,CODE_ONLY
