endpoint,http_status,authenticated,role,certification_status,notes
/api/reports/,404,N/A,N/A,NOT_DEPLOYED,Reports base not deployed in production
/api/reports/library/,403,N/A,Accountant,NOT_DEPLOYED,Returns 403 in stale deployment
/api/reports/library/inventory/,404,N/A,Accountant,NOT_DEPLOYED,Inventory report not deployed
/api/reports/library/available/,404,N/A,Accountant,NOT_DEPLOYED,Available report not deployed
/api/reports/library/issued/,404,N/A,Accountant,NOT_DEPLOYED,Issued report not deployed
/api/reports/library/returned/,404,N/A,Accountant,NOT_DEPLOYED,Returned report not deployed
/api/reports/library/overdue/,404,N/A,Accountant,NOT_DEPLOYED,Overdue report not deployed
/api/reports/library/fines/,404,N/A,Accountant,NOT_DEPLOYED,Fines report not deployed
/api/reports/library/activity/,404,N/A,Accountant,NOT_DEPLOYED,Activity report not deployed
/api/reports/library/most-borrowed/,404,N/A,Accountant,NOT_DEPLOYED,Most borrowed not deployed
/api/reports/library/student-history/,404,N/A,Accountant,NOT_DEPLOYED,Student history not deployed
/api/reports/library/teacher-history/,404,N/A,Accountant,NOT_DEPLOYED,Teacher history not deployed
