PHASE 77 - STEP 3: END-TO-END FUNCTION TRACE
=============================================
Phase: 77
Date: 2026-09-24
Method: Static trace of each function across layers: FRONTEND (page/component -> fetch call) -> ROUTE (App.jsx) -> API ENDPOINT (config/urls.py + app urls.py) -> VIEW (backend app) -> MODEL -> TEST COVERAGE.
Environment: READ-ONLY. No production mutation. No authenticated session available (AUTH in every status column = authenticated browser required; hence production operation AUTH_TEST_BLOCKED by default).

Columns:
trace_id | function_name | frontend_layer | route_guard | api_endpoint | http_methods | backend_view | backend_app | model(s) | test_evidence | full_path_status | gaps

======================================================================
END-TO-END TRACES
======================================================================

TRACE-0001|Login|src/auth.jsx login() -> LoginPage.jsx form; GET /api/auth/csrf/ seeds cookie|PUBLIC (unauthenticated target)|/api/auth/csrf/, /api/auth/login/, /api/auth/me/|GET,POST,GET|csrf_token, LoginView, CurrentUserView|accounts|User, RoleAssignment, FailedLoginAttempt|LoginTests, AccountLockoutTests, FailedLoginRecordingTests|COMPLETE (FE->API->View->Model all present, unit tested)|None - only live browser session missing

TRACE-0002|Logout|auth.jsx logout()|n/a|/api/auth/logout/|POST|LogoutView|accounts|UserSession|SessionManagementTests|COMPLETE|None

TRACE-0003|Current user / session hydration|auth.jsx fetchMe()|n/a|/api/auth/me/|GET|CurrentUserView|accounts|User, InstitutionMembership, RoleAssignment|CurrentUserTests|COMPLETE|None

TRACE-0004|Active institution switch|schoolContext.jsx setActive -> fetch|n/a|/api/auth/active-institution/|GET,POST|ActiveInstitutionView|accounts|InstitutionMembership|SchoolContextControlTests, SchoolSwitchingTests|COMPLETE|None

TRACE-0005|Active campus switch|schoolContext.jsx|n/a|/api/auth/active-campus/|GET,POST|ActiveCampusView|accounts|InstitutionMembership (campus scope)|SchoolSwitchingTests|COMPLETE|None

TRACE-0006|2FA setup/activate/disable|TwoFASection.jsx (SettingsPage)|super_admin,admin,principal,academic ('/settings')|/api/auth/2fa/status|setup|activate|disable, /backup-codes/, /verify-backup/|GET,POST|TwoFAStatusView, TwoFASetupView, TwoFAActivateView, TwoFADisableView, TwoFABackupCodesView, TwoFAVerifyBackupCodeView|accounts|TwoFABackupCode, User|TwoFABackupCodeTests, TwoFAVerifyBackupCodeTests, BackupCodeHardeningTests|COMPLETE|None

TRACE-0007|Session management|SettingsPage.jsx|'/settings' route|/api/auth/sessions/, /revoke-all/, /sessions/{id}/|GET,POST,DELETE|SessionListView, SessionRevokeAllView, SessionRevokeView|accounts|UserSession|SessionManagementTests|COMPLETE|None

TRACE-0008|Password change|SettingsPage.jsx|'/settings'|/api/auth/password-change/|POST|PasswordChangeView|accounts|PasswordHistory|PasswordChangeTests, PasswordReusePolicyTests|COMPLETE|None

TRACE-0009|Password reset|LoginPage link|PUBLIC|/api/auth/password-reset/, /confirm/|POST|PasswordResetRequestView, PasswordResetConfirmView|accounts|User|PasswordResetTests|COMPLETE API+BACKEND; UI partial|No dedicated reset UI page verified

