module,principal_access_expected,principal_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
dashboard,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js + step4 probe,Welcome back dashboard; topbar 41 links
students,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js + probe,"+ Add Student detected, not clicked; 0 records"
admissions,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=661,Transient frame resolved; final content
teachers,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js + probe,"+ Add Teacher detected, not clicked"
staff,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,list shell; 0 records
staff_leave_and_attendance,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js (/hr),leave mgmt under HR
health_records,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=238,"0 records; 7 clinic profiles; New Record detected"
hr,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
profile,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
academics,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,renders
attendance,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
discipline,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Add Incident detected, not clicked; 0 incidents"
exams,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
homework,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"New Homework detected, not clicked; 0 items"
lms,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"New Course detected, not clicked; 0 courses"
report_cards,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
timetable,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
assignments,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=583,final content; transient frame resolved
finance,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js + probe,"Add Fee Structure/Bulk Operations detected, not clicked"
payroll,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
reports,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
report_builder,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,renders
library,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Add Book detected, not clicked; catalog shell"
transport,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,renders
inventory,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,renders
documents,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
campuses,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
campus_dashboard,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=373,multi-campus compare renders
executive_dashboard,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=1236,executive dashboard renders
alumni,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Add Alumni detected, not clicked; 0 records"
hostel,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Add detected, not clicked; 0 records; Loading data..."
messages,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,admin.spec.js,renders
announcements,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"New Announcement detected, not clicked"
events,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=148,renders
helpdesk,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,stability trace main=277,support tickets shell
visitors,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Check In detected, not clicked; gate log shell"
digital_ids,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"Issue Card detected, not clicked"
ai_assistant,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,availability check renders
workflow_definitions,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,renders
workflow_approvals,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe,"0 approvals; Approve workflow never executed (MUTATION_NOT_EXECUTED)"
settings,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=826,renders; save controls not clicked
