route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,dashboard,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js dashboard+identity; step4 probe,PROVEN,"Dashboard Overview Welcome back; topbar 41 links"
/profile,profile,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Profile page renders"
/students,students,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js; probe main=305,PROVEN,"+ Add Student control present; 0 records (empty data)"
/teachers,teachers,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js; probe main=336,PROVEN,"+ Add Teacher control present; 0 records"
/staff,staff,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records (empty data)"
/attendance,attendance,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records (empty data)"
/exams,exams,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records (empty data)"
/report-cards,report_cards,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records (empty data)"
/finance,finance,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js; probe main=445,PROVEN,"Add Fee Structure/Bulk Operations controls; no denied card"
/hr,hr,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records"
/payroll,payroll,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders; 0 records"
/reports,reports,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders"
/documents,documents,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders"
/messages,messages,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders"
/timetable,timetable,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders"
/campuses,campuses,principal,principal,200,BOOT_200,YES,denied_absent,admin.spec.js allowed renders,PROVEN,"Renders"
/academics,academics,principal,principal,200,BOOT_200,YES,denied_absent,probe main=151,PROVEN,"Renders"
/admissions,admissions,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=661,PROVEN,"Transient access-denied frame observed then correct content (OBS-1)"
/assignments,assignments,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=583,PROVEN,"Final state content; transient frame resolved (OBS-1)"
/campus-dashboard,campus_dashboard,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=373,PROVEN,"Multi-campus dashboard renders"
/executive-dashboard,executive_dashboard,principal,principal,200,BOOT_200,YES,denied_absent,stability trace main=1236,PROVEN,"Executive dashboard renders; transient non-final frame resolved (OBS-1)"
/announcements,announcements,principal,principal,200,BOOT_200,YES,denied_absent,probe main=174,PROVEN,"New Announcement control present"
/library,library,principal,principal,200,BOOT_200,YES,denied_absent,probe main=309,PROVEN,"Catalog shell+filter controls; Add Book present"
/transport,transport,principal,principal,200,BOOT_200,YES,denied_absent,probe main=240,PROVEN,"Renders"
/inventory,inventory,principal,principal,200,BOOT_200,YES,denied_absent,probe main=219,PROVEN,"Renders"
/report-builder,report_builder,principal,principal,200,BOOT_200,YES,denied_absent,probe main=163,PROVEN,"Renders"
/discipline,discipline,principal,principal,200,BOOT_200,YES,denied_absent,probe main=107,PROVEN,"Add Incident control present; 0 incidents"
/staff-operations,staff_operations,principal,principal,200,BOOT_200,YES,denied_absent,probe main=277,PROVEN,"Renders"
/homework,homework,principal,principal,200,BOOT_200,YES,denied_absent,probe main=128,PROVEN,"New Homework control present; 0 items"
/health-records,health_records,principal,principal,200,BOOT_200,YES,denied_absent,probe main=238,PROVEN,"0 records; 7 student clinic profiles"
/alumni,alumni,principal,principal,200,BOOT_200,YES,denied_absent,probe main=113,PROVEN,"Add Alumni control present; 0 records"
/hostel,hostel,principal,principal,200,BOOT_200,YES,denied_absent,probe main=149,PROVEN,"Add control present; 0 records; Loading data..."
