module,teacher_access_expected,teacher_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
dashboard,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + diag + probe main=709,"Welcome back; 3 report charts 403 scoped (OBS-2) rendering degrades gracefully"
students,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=630,"0 students; list API 200 deterministic"
health_records,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=386,"New Record detected, not clicked; 0 records / 7 clinic profiles"
attendance,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=459,"Mark Attendance detected, not clicked"
discipline,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=156,"Add Incident detected, not clicked; 0 incidents"
exams,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=368,"New exam / Enter Marks detected, not clicked"
report_cards,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=219,read/search only
homework,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=156,"New Homework detected, not clicked; 0 items"
lms,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=147,"New Course detected, not clicked; 0 courses"
timetable,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=311,"My Timetable; 0 periods configured"
messages,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=210,"New Message detected, not clicked; 0 messages"
announcements,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,probe main=229,"New Announcement detected, not clicked; 0 announcements"
events,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=160,"+ Add Event detected, not clicked; 0 events"
helpdesk,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,teacher.spec + probe main=277,"New Ticket detected, not clicked"
ai_assistant,YES,YES,PROVEN,NO_MUTATION_CONTROL,200,PASS,probe main=593,"No guard route; read-only assistant UI"
profile,YES,YES,PROVEN,NO_MUTATION_CONTROL,200,PASS,teacher.spec + probe main=276,"Lucian Solaris profile; no write controls in view"
