route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,dashboard,teacher,teacher,200,BOOT_200+DASH_200,PROVEN,denied_absent,teacher.spec dashboard; diag me 200; probe main=709,PROVEN,"Welcome back; Lorenz account chip; 3 report charts 403 scoped (OBS-2)"
/students,students,teacher,teacher,200,API_200_deterministic,PROVEN,denied_absent,teacher.spec; probe main=630,PROVEN,"1 cold-boot 403 transient seen; 200x3 on re-test; 0 students listed"
/attendance,attendance,teacher,teacher,200,API_200,PROVEN,denied_absent,teacher.spec; probe main=459,PROVEN,"Mark Attendance control present; 0 records"
/exams,exams,teacher,teacher,200,API_200,PROVEN,denied_absent,teacher.spec; probe main=368,PROVEN,"New exam / Enter Marks controls present"
/report-cards,report_cards,teacher,teacher,200,API_200,PROVEN,denied_absent,teacher.spec; probe main=219,PROVEN,"read/search UI; 0 report cards"
/timetable,timetable,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,teacher.spec; probe main=311,PROVEN,"My Timetable personal schedule; 0 periods configured"
/messages,messages,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,teacher.spec; probe main=210,PROVEN,"New Message control present; 0 messages"
/events,events,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,teacher.spec; probe main=160,PROVEN,"+ Add Event control present; 0 events"
/announcements,announcements,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,probe main=229,PROVEN,"New Announcement control present; 0 announcements"
/discipline,discipline,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,probe main=156,PROVEN,"Add Incident control present; 0 incidents"
/homework,homework,teacher,teacher,200,API_200,PROVEN,denied_absent,probe main=156,PROVEN,"New Homework control present; 0 items"
/health-records,health_records,teacher,teacher,200,API_200,PROVEN,denied_absent,teacher.spec; probe main=386,PROVEN,"New Record control present; 0 records / 7 student clinic profiles"
/lms,lms,teacher,teacher,200,API_200,PROVEN,denied_absent,probe main=147,PROVEN,"New Course control present; 0 courses"
/helpdesk,helpdesk,teacher,teacher,200,API_200,PROVEN,denied_absent,teacher.spec; probe main=277,PROVEN,"New Ticket control present"
/profile,profile,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,teacher.spec; probe main=276,PROVEN,"Lucian Solaris teacher profile"
/ai-assistant,ai_assistant,teacher,teacher,200,BOOT_200,PROVEN,denied_absent,probe main=593,PROVEN,"No guard route; renders; scope notice"
/finance,finance,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,"Access denied card main=145"
/payroll,payroll,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,"backend /api/payroll/records/ 403 (authz spec)"
/hr,hr,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,Access denied card
/staff,staff,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,Access denied card
/settings,settings,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe + authz spec,PROVEN_DENIED,Access denied card
/campuses,campuses,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,Access denied card
/report-builder,report_builder,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,Access denied card
/library,library,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,teacher.spec + probe,PROVEN_DENIED,Access denied card
/teachers,teachers,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/academics,academics,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/admissions,admissions,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/assignments,assignments,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/transport,transport,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/inventory,inventory,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/documents,documents,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/reports,reports,teacher,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/students/:id,students_detail,teacher,NOT_ATTEMPTED,,,,not_probed,safety_skip,no safe ID-probe fixture,UNVERIFIED_NOT_ATTEMPTED,"param route; guard allows teacher"
/profile/student/:id,profile_student_detail,teacher,NOT_ATTEMPTED,,,,not_probed,safety_skip,no safe ID-probe fixture,UNVERIFIED_NOT_ATTEMPTED,param route
/profile/teacher/:id,profile_teacher_detail,teacher,NOT_ATTEMPTED,,,,not_probed,safety_skip,guard excludes teacher (source IMPLEMENTED deny),UNVERIFIED_NOT_ATTEMPTED,param route
