route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,dashboard,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + probe main=375,PROVEN,"Dashboard Overview Welcome back; cold boot 10-15s (OBS-1)"
/students,students,student,student,200,API_200,PROVEN,denied_absent,student.spec + stability probe main=153,PROVEN,"Renders student's OWN profile view (My Profile Arthur Pendragon); 1 early transient denied frame resolved (OBS-1)"
/homework,homework,student,student,200,API_200,PROVEN,denied_absent,student.spec + stability probe main=111,PROVEN,"Your homework assignments; 0 items; Loading data..."
/lms,lms,student,student,200,API_200,PROVEN,denied_absent,student.spec + stability probe main=111,PROVEN,"Your courses, lessons and quizzes; 0 available"
/timetable,timetable,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + stability probe main=179,PROVEN,"Class timetables; 0 periods configured"
/messages,messages,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + probe main=149,PROVEN,"New Message control present; not clicked; 0 messages"
/announcements,announcements,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + stability probe main=174,PROVEN,"New Announcement control visible; NOT clicked (OBS-3)"
/events,events,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + probe main=114,PROVEN,"Event List; 0 events found"
/profile,profile,student,student,200,BOOT_200+403_graceful,PROVEN,denied_absent,student.spec + stability probe main=559,PROVEN,"Student profile loaded fully; 403 api/schools/branding/ graceful (OBS-2)"
/ai-assistant,ai_assistant,student,student,200,BOOT_200,PROVEN,denied_absent,student.spec + probe main=191,PROVEN,"No guard route; renders; scope notice"
/finance,finance,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,"Access denied card main=145; backend invoices/payments 200-empty (OBS-4)"
/payroll,payroll,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,"backend /api/payroll/records/ 403"
/hr,hr,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/staff,staff,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/attendance,attendance,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,"backend /api/attendance/ 200-empty (OBS-4)"
/exams,exams,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,"backend /api/exams/ 200-empty (OBS-4)"
/report-cards,report_cards,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/settings,settings,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/teachers,teachers,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/campuses,campuses,student,denied_card,200,BOOT_200,denied_card,denied_expected,student.spec + probe,PROVEN_DENIED,Access denied card
/helpdesk,helpdesk,student,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/discipline,discipline,student,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/academics,academics,student,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/library,library,student,denied_card,200,BOOT_200,denied_card,denied_expected,probe,PROVEN_DENIED,Access denied card
/profile/student/:id,profile_student_detail,student,NOT_ATTEMPTED,,,,not_probed,safety_skip,no safe ID-probe fixture,UNVERIFIED_NOT_ATTEMPTED,param route; guard allows student
/students/:id,students_detail,student,NOT_ATTEMPTED,,,,not_probed,safety_skip,guard excludes student (source IMPLEMENTED deny),UNVERIFIED_NOT_ATTEMPTED,param route
