role,role_rank,phase80_step,authentication_status,dashboard_status,routes_proven,routes_tested,modules_proven,modules_tested,certification_status,blocker_reason,evidence_source
super_admin,100,STEP_4,PROVEN,PROVEN,52,52,52,52,READ_ONLY_PROVEN,NONE,PHASE_80_STEP_4_super_admin_* (FrostFire; me/ 200)
admin,80,ABSORBED,N/A,N/A,0,0,0,0,ABSORBED_INTO_PRINCIPAL,Admin user Flora carries canonical role principal; certified under principal row; no independent admin session,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_78_STEP_5 (Flora); PHASE_79 admin row
org_admin,90,STEP_5,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE_NO_FRONTEND_GUARD_MISS-002_TPR-005,PHASE_80_STEP_5_org_admin_MACHINE_SUMMARY; PHASE_78_STEP_3
head_office,85,STEP_6,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE_NO_FRONTEND_GUARD_MISS-002_TPR-005,PHASE_80_STEP_6_head_office_MACHINE_SUMMARY; PHASE_78_STEP_3
principal,70,PHASE_78_STEP_5,PROVEN,PROVEN,52,57,40,40,READ_ONLY_PROVEN,5 parameterized-detail routes UNVERIFIED; no defect,PHASE_78_STEP_5_PRINCIPAL_* (Flora; 52/57, 40 modules, 0 defects)
vice_principal,65,STEP_7,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_7_vice_principal_MACHINE_SUMMARY; PHASE_78_STEP_3
campus_admin,60,STEP_8,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_8_campus_admin_MACHINE_SUMMARY; PHASE_78_STEP_3
academic,55,STEP_9,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_9_academic_MACHINE_SUMMARY; PHASE_78_STEP_3
accountant,50,STEP_10,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_VALID_DOCUMENTED_SESSION_INVALID_PLACEHOLDER_FIXTURE (DEG-EMP-00031 documented),PHASE_80_STEP_10_accountant_MACHINE_SUMMARY; PHASE_78_STEP_3; PHASE_65
hr,45,STEP_11,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_VALID_DOCUMENTED_SESSION_INVALID_PLACEHOLDER_FIXTURE (no username identifier),PHASE_80_STEP_11_hr_MACHINE_SUMMARY; PHASE_78_STEP_3
receptionist,40,STEP_12,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_VALID_DOCUMENTED_SESSION_INVALID_PLACEHOLDER_FIXTURE (no username identifier),PHASE_80_STEP_12_receptionist_MACHINE_SUMMARY; PHASE_78_STEP_3
librarian,35,STEP_13,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_VALID_DOCUMENTED_SESSION_INVALID_PLACEHOLDER_FIXTURE (SA-EMP-00011 documented),PHASE_80_STEP_13_librarian_MACHINE_SUMMARY; PHASE_78_STEP_3; PHASE_55/57
guard,30,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,0,0,NOT_CERTIFIED,No Phase 80 step run; valid session absent (sa_guard.txt invalid placeholder; SA-EMP-00031 documented),PHASE_79_FINAL_ROLE_CERTIFICATION_MATRIX; PHASE_78_STEP_3
nurse,28,STEP_14,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_VALID_SESSION; login requires school_code; FE guard omits nurse /health-records (TPR-004),PHASE_80_STEP_14_nurse_MACHINE_SUMMARY; PHASE_77 TPR-004; PHASE_78_STEP_3
teacher,25,PHASE_78_STEP_6,PROVEN,PROVEN,32,32,16,16,READ_ONLY_PROVEN,3 parameterized-detail routes UNVERIFIED; no defect,PHASE_78_STEP_6_teacher_* (SA-EMP-0001; 32/32, 16 modules, 0 defects)
parent,5,STEP_15,BLOCKED,BLOCKED,0,0,0,0,BLOCKED,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_15_parent_MACHINE_SUMMARY; PHASE_78_STEP_3; PHASE_77_1
student,10,PHASE_78_STEP_7,PROVEN,PROVEN,24,24,10,10,READ_ONLY_PROVEN,2 parameterized-detail routes UNVERIFIED; no defect,PHASE_78_STEP_7_student_* (SA-ST-0001; 24/24, 10 modules, 0 defects)
staff,20,STEPS_2+3,PROVEN,PROVEN,10,21,10,21,READ_ONLY_PROVEN,11 denied-UI routes verified as expected denials (not failures),PHASE_80_STEP_2_STAFF_AUTH_*; PHASE_80_STEP_3_STAFF_* (DI-EMP-0001; 0 defects)
