module,staff_access_expected,staff_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
Dashboard,ALLOWED,ALLOWED_READ_ONLY,PROVEN,NO_MUTATION_EXECUTED,dashboard/overview:200 reports widgets 403 expected,RENDERED,staff.spec allowed / + probe,Report widgets denied (reports module); main content rendered
My Profile,ALLOWED,ALLOWED_READ_ONLY,PROVEN,NO_MUTATION_EXECUTED,auth/me:200,RENDERED,staff.spec allowed /profile + probe,Identity B But DI-EMP-0001 staff
Timetable,ALLOWED,ALLOWED_READ_ONLY,PROVEN,NO_MUTATION_EXECUTED,timetable/periods:200 entries:200,RENDERED,staff.spec allowed /timetable + probe,Empty self-scope ok
Messages,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (New Message),messages:200 unread-count:200,RENDERED,staff.spec allowed /messages + probe,New Message control never activated
Announcements,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (New Announcement),communication/announcements:200,RENDERED,staff.spec allowed /announcements + probe,Control never activated
Events,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (Add Event),events:200,RENDERED,staff.spec allowed /events + probe,Control never activated
Helpdesk,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (New Ticket),helpdesk/tickets:200 categories:200 campuses:200,RENDERED,staff.spec allowed /helpdesk + probe,Control never activated
Visitors,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (Check In),visitors/visitors:200 stats:200 campuses:200,RENDERED,staff.spec allowed /visitors + probe,Check In control never activated
Digital IDs,ALLOWED,ALLOWED_READ_ONLY,PROVEN,MUTATION_CONTROL_DETECTED_NOT_EXECUTED (Issue Card),digital-ids/cards:200 students:200,RENDERED,staff.spec allowed /digital-ids + probe,Issue Card control never activated
AI Assistant,ALLOWED,ALLOWED_READ_ONLY,PROVEN,NO_MUTATION_EXECUTED,ai/overview:200,RENDERED,staff.spec allowed /ai-assistant + probe,Prompt UI only
Finance,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,invoices:403 payments:403,RENDERED access-denied card,staff.spec denied /finance + authorization + probe,Backend 403 confirmed
Payroll,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,payroll/records:403,RENDERED access-denied card,staff.spec denied /payroll + authorization + probe,Backend 403 confirmed
Human Resources,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,no module calls; hr/employees scoped 200,RENDERED access-denied card,staff.spec denied /hr + authorization + probe,Expected denial card
Staff Directory,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,no module calls,DENIED_CARD,staff.spec denied /staff + authorization + probe,Expected denial card
Attendance,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,api/attendance observed 200 scoped read,DENIED_CARD,staff.spec denied /attendance + probe,UI denied; not canonical-required-403
Exams,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,api/exams observed 200 scoped read,DENIED_CARD,staff.spec denied /exams + probe,UI denied; not canonical-required-403
Report Cards,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,api/report-cards observed 200 scoped read,DENIED_CARD,staff.spec denied /report-cards + probe,UI denied; not canonical-required-403
Settings,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,no module calls,DENIED_CARD,staff.spec denied /settings + probe,Expected denial card
Students,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,api/students scoped 200 (authorized posture),DENIED_CARD,staff.spec denied /students + authorization + probe,Authorized scoped read per helpers
Teachers,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,api/teachers observed 200 scoped read,DENIED_CARD,staff.spec denied /teachers + probe,UI denied; not canonical-required-403
Reports,DENIED_UI,DENIED_CARD_SHOWN,PROVEN_DENIED,NO_MUTATION_EXECUTED,dashboard report widgets 403,DENIED_CARD,staff.spec denied /reports + authorization + probe,Expected denial card
