route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,Dashboard,staff,staff,OK(no login redirect),dashboard/overview:200 reports widgets 403 expected,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/ + p80_s3_routes.cjs root route,READ_ONLY_PROVEN,Welcome banner + overview; reports widget 403 = denied /reports module expected
/profile,My Profile,staff,staff,OK,auth/me:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/profile + probe,READ_ONLY_PROVEN,Profile summary B But @DI-EMP-0001 Staff Member
/timetable,Timetable,staff,staff,OK,timetable/periods:200 timetable/entries:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/timetable + probe,READ_ONLY_PROVEN,"Period Schedule 0 periods configured (empty self-scope ok)"
/messages,Messages,staff,staff,OK,messages:200 unread-count:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/messages + probe,READ_ONLY_PROVEN,Inbox rendered; New Message control detected not activated
/announcements,Announcements,staff,staff,OK,communication/announcements:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/announcements + probe,READ_ONLY_PROVEN,List rendered; New Announcement control detected not activated
/events,Events,staff,staff,OK,events:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/events + probe,READ_ONLY_PROVEN,0 events found empty state; Add Event control detected not activated
/helpdesk,Helpdesk,staff,staff,OK,helpdesk/tickets:200 categories:200 campuses:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/helpdesk + probe,READ_ONLY_PROVEN,Ticket list rendered; New Ticket control detected not activated
/visitors,Visitors,staff,staff,OK,visitors/visitors:200 stats:200 campuses:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/visitors + probe,READ_ONLY_PROVEN,Gate log; Check In control detected not activated
/digital-ids,Digital IDs,staff,staff,OK,digital-ids/cards:200 students:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/digital-ids + probe,READ_ONLY_PROVEN,Card list; Issue Card control detected not activated
/ai-assistant,AI Assistant,staff,staff,OK,ai/overview:200,RENDERED,ALLOWED_RENDER,staff.spec allowed_module_renders:/ai-assistant + probe,READ_ONLY_PROVEN,Assistant prompt UI rendered
/finance,Finance,staff,staff,OK(no redirect),no module data calls (backend finance APIs 403),DENIED_CARD(access-denied),DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /finance + authorization staff denied routes + probe,BLOCKED_VERIFIED,Expected denial card .state-card.error
/payroll,Payroll,staff,staff,OK,no module data calls (payroll/records 403),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /payroll + probe,BLOCKED_VERIFIED,Expected denial card
/hr,Human Resources,staff,staff,OK,no module data calls,DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /hr + authorization staff denied routes + probe,BLOCKED_VERIFIED,Expected denial card
/staff,Staff Directory,staff,staff,OK,no module data calls,DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /staff + authorization staff denied routes + probe,BLOCKED_VERIFIED,Expected denial card
/attendance,Attendance,staff,staff,OK,no module data calls (api/attendance observed 200 scoped read),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /attendance + probe,BLOCKED_VERIFIED,UI denied; API scope read 200 not canonical-required-403
/exams,Exams,staff,staff,OK,no module data calls (api/exams observed 200 scoped read),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /exams + probe,BLOCKED_VERIFIED,UI denied; API scope read 200 not canonical-required-403
/report-cards,Report Cards,staff,staff,OK,no module data calls (api/report-cards observed 200 scoped read),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /report-cards + probe,BLOCKED_VERIFIED,UI denied; API scope read 200 not canonical-required-403
/settings,Settings,staff,staff,OK,no module data calls,DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /settings + probe,BLOCKED_VERIFIED,Expected denial card
/students,Students,staff,staff,OK,no module data calls (api/students observed 200 scoped read),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /students + authorization staff denied routes + probe,BLOCKED_VERIFIED,UI denied; API scope read 200 = authorized scoped posture
/teachers,Teachers,staff,staff,OK,no module data calls (api/teachers observed 200 scoped read),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /teachers + probe,BLOCKED_VERIFIED,UI denied; API scope read 200 not canonical-required-403
/reports,Reports,staff,staff,OK,no module data calls (dashboard report widgets 403),DENIED_CARD,DENIED_UI_EXPECTED,staff.spec denied_module:blocked_UI /reports + authorization staff denied routes + probe,BLOCKED_VERIFIED,Expected denial card
