module,super_admin_access_expected,super_admin_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
Dashboard,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/),routes=1 bodyLen avg=433
Students,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/students),routes=1 bodyLen avg=440
Teachers,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/teachers),routes=1 bodyLen avg=395
Staff Directory,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/staff),routes=1 bodyLen avg=1668
Attendance,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/attendance),routes=1 bodyLen avg=514
Exams,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/exams),routes=1 bodyLen avg=298
Report Cards,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/report-cards),routes=1 bodyLen avg=219
Finance,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/finance),routes=1 bodyLen avg=660
Human Resources,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/hr),routes=1 bodyLen avg=334
Payroll,ALLOWED,ALLOWED,READ_ONLY_PROVEN,MUTATION_NOT_EXECUTED (1 control(s) detected on 1 route),all-200,RENDERED,super-admin.spec + p80_s4_routes.cjs (/payroll),routes=1 bodyLen avg=227
