route,module,expected_role,actual_role,navigation_status,api_status,page_rendered,authorization_status,production_evidence,status,notes
/,Dashboard,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/ + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=433; mutation-controls-detected-not-executed=1
/students,Students,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/students + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=440; mutation-controls-detected-not-executed=2
/teachers,Teachers,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/teachers + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=395; mutation-controls-detected-not-executed=2
/staff,Staff Directory,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/staff + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=1668; mutation-controls-detected-not-executed=3
/attendance,Attendance,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/attendance + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=514; mutation-controls-detected-not-executed=2
/exams,Exams,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/exams + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=298; mutation-controls-detected-not-executed=2
/report-cards,Report Cards,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/report-cards + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=219; mutation-controls-detected-not-executed=1
/finance,Finance,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/finance + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=660; mutation-controls-detected-not-executed=2
/hr,Human Resources,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/hr + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=334; mutation-controls-detected-not-executed=2
/payroll,Payroll,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/payroll + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=227; mutation-controls-detected-not-executed=1
/reports,Reports,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/reports + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=549; mutation-controls-detected-not-executed=2
/documents,Documents,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/documents + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=462; mutation-controls-detected-not-executed=2
/events,Events,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/events + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=126; mutation-controls-detected-not-executed=2
/messages,Messages,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/messages + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=210; mutation-controls-detected-not-executed=2
/timetable,Timetable,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/timetable + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=544; mutation-controls-detected-not-executed=2
/library,Library,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/library + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=309; mutation-controls-detected-not-executed=3
/transport,Transport,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/transport + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=240; mutation-controls-detected-not-executed=2
/inventory,Inventory,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/inventory + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=219; mutation-controls-detected-not-executed=2
/helpdesk,Helpdesk,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/helpdesk + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=277; mutation-controls-detected-not-executed=2
/visitors,Visitors,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/visitors + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=286; mutation-controls-detected-not-executed=2
/digital-ids,Digital IDs,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/digital-ids + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=313; mutation-controls-detected-not-executed=2
/workflow/definitions,Workflow Definitions,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/workflow/definitions + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=143; mutation-controls-detected-not-executed=2
/workflow/approvals,Pending Approvals,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/workflow/approvals + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=112; mutation-controls-detected-not-executed=1
/hostel,Hostel,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/hostel + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=209; mutation-controls-detected-not-executed=2
/health-records,Health Records,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/health-records + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=573; mutation-controls-detected-not-executed=2
/parent-portal,Parent Portal,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/parent-portal + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=231; mutation-controls-detected-not-executed=1
/settings,Settings,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/settings + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=1401; mutation-controls-detected-not-executed=1
/branding,Branding,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/branding + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=115; mutation-controls-detected-not-executed=1
/audit-logs,Audit Logs,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/audit-logs + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=142; mutation-controls-detected-not-executed=2
/profile,My Profile,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/profile + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=296; mutation-controls-detected-not-executed=1
/campuses,Campuses,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/campuses + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=137; mutation-controls-detected-not-executed=2
/admissions,Admissions,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/admissions + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=774; mutation-controls-detected-not-executed=4
/academics,Academics,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/academics + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=151; mutation-controls-detected-not-executed=1
/finance/student-fees,Student Fees,super_admin,super_admin,OK(no login redirect),all-200,YES,ALLOWED_RENDER,super-admin.spec core/tail module renders:/finance/student-fees + p80_s4_routes.cjs,READ_ONLY_PROVEN,bodyLen=342; mutation-controls-detected-not-executed=1
