Role,Route,Expected_Access,Actual_Status,Tested,Notes
counsellor,/api/auth/me/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
counsellor,/helpdesk/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
counsellor,/api/helpdesk/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
guard,/api/auth/me/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
guard,/helpdesk/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
guard,/visitors/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
guard,/digital-ids/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
nurse,/api/auth/me/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
nurse,/health-records/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
nurse,/api/health/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
administrative_officer,/api/auth/me/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
administrative_officer,/helpdesk/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
librarian,/api/auth/me/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
librarian,/library/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
librarian,/api/library/,READ,NOT_TESTED,NO,"Deployment blocked; no session"
